session_number,warm_up,drills_1,main_set,drills_2,cool_down,total_distance
#1,300,8x50 @10sec,"3x50@10sec, 2x100@20sec, 2x150@30sec, 3x100@20sec, 3x50@10sec.",6x50 @10sec,200,2500
#2,300,8x50 @10sec,"4x (100@15sec, 150@20sec, 50@15sec)",6x50 @10sec,200,2500
#3,300,8x50 @10sec,"6x (25@5sec, 50@5sec, 75@10sec, 100@15sec)",6x50 @10sec,200,2500
#4,300,4x100@10sec,"2x250@30sec, 4x125@15sec",8x50 @10sec,200,2500
#5,300,4x100@10sec,"2x250@30sec, 4x125@15sec",6x50 @10sec,200,2600
#6,300,4x100@10sec,"3x (100@15sec, 250@30sec)",6x50 @10sec,200,3000
#7,300,4x100@10sec,"8x25@5sec, 4x50@10sec, 2x100@15sec, 2x200@20sec",6x50 @10sec,200,3100
#8,300,4x100@10sec,1800 straight swim,3x100@10sec,200,3000
#9,300,4x100@10sec,"3x (150@15sec, 200@20sec)",3x100@10sec,200,3000
#10,300,4x100@10sec,"3x175@20sec, 3x125@10sec",6x50 @10sec,200,3100
#11,300,4x100@10sec,"500@35sec, 400@30sec, 300@25sec, 200@20sec, 100@15sec",6x50 @10sec,200,3000
#12,300,4x100@10sec,"2x (50@5sec, 100@10sec, 150@15sec, 200@20sec, 250@25sec)",6x50 @10sec,200,3500
#13,300,4x100@10sec,"4x (125@15sec, 225@25sec)",6x50 @10sec,200,3500
#14,300,4x100@10sec,"4x25@5sec, 3x75@10sec, 2x125@15sec, 1x250@20sec, 2x125@15sec, 3x75@10sec, 4x25@5sec.",6x50 @10sec,200,3500
#15,300,4x100@10sec,"6x150@15sec, 6x100@10sec.",6x50 @10sec,200,3500
#16,300,4x100@10sec,6x250@30sec,6x50 @10sec,200,3500
#17,300,4x100@10sec,2200 straight swim,4x100 @10sec,200,3500
