phase,week,day,swim_hours,swim,bike_hours,bike,run_hours,run,total_hours,plan_id
Full,1,1,,,,,,,0:00,1
Full,1,2,1:00,#1,,,0:30,Z2,1:30,1
Full,1,3,,,0:30,Trans: Z1 100+RPM,0:15,Z2,0:45,1
Full,1,4,1:00,#2,0:30,Z1 (100+RPM),,,1:30,1
Full,1,5,,,,,0:30,Z2,0:30,1
Full,1,6,,,1:00,Z2,,,1:00,1
Full,1,7,,,,,0:45,Z1-Z2,0:45,1
Full,2,1,,,,,,,0:00,1
Full,2,2,1:00,#3,,,0:30,Z2,1:30,1
Full,2,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,1
Full,2,4,1:00,#4,0:30,Z1 (100+RPM),,,1:30,1
Full,2,5,,,,,0:45,Z2,0:45,1
Full,2,6,,,1:30,Z2,,,1:30,1
Full,2,7,,,,,1:00,Z1-Z2,1:00,1
Full,3,1,,,,,,,0:00,1
Full,3,2,1:00,#5,,,0:45,Z2,1:45,1
Full,3,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,1
Full,3,4,1:00,#1,0:45,Z1 (100+RPM),,,1:45,1
Full,3,5,,,,,1:00,Z2,1:00,1
Full,3,6,,,1:45,Z2,,,1:45,1
Full,3,7,,,,,1:00,Z2,1:00,1
Full,4,1,,,,,,,0:00,1
Full,4,2,1:00,#2,,,0:30,Z2,1:30,1
Full,4,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,1
Full,4,4,1:00,#3,0:30,Z1 (100+RPM),,,1:30,1
Full,4,5,,,,,0:45,Z2,0:45,1
Full,4,6,,,1:30,Z2,,,1:30,1
Full,4,7,,,,,1:00,Z2,1:00,1
Full,5,1,,,,,,,0:00,1
Full,5,2,1:00,#4,,,0:45,Z2,1:45,1
Full,5,3,,,0:30,Trans (fast): Z2,0:15,Z2,0:45,1
Full,5,4,1:00,#5,0:45,Z1 (100+RPM),,,1:45,1
Full,5,5,,,,,1:00,Z2,1:00,1
Full,5,6,,,1:45,Z2,,,1:45,1
Full,5,7,,,,,1:00,Z1-Z2,1:00,1
Full,6,1,,,,,,,0:00,1
Full,6,2,1:00,#1,,,1:00,Z2,2:00,1
Full,6,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,6,4,1:00,#2,1:00,Z1 (100+RPM),,,2:00,1
Full,6,5,,,,,1:00,Z2,1:00,1
Full,6,6,,,2:00,Z2,,,2:00,1
Full,6,7,,,,,1:00,Z1-Z2,1:00,1
Full,7,1,,,,,,,0:00,1
Full,7,2,1:00,#3,,,1:00,Z2,2:00,1
Full,7,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,7,4,1:00,#4,1:00,Z1 (100+RPM),,,2:00,1
Full,7,5,,,,,1:15,Z2,1:15,1
Full,7,6,,,2:30,Z2,,,2:30,1
Full,7,7,,,,,1:15,Z1-Z2,1:15,1
Full,8,1,,,,,,,0:00,1
Full,8,2,1:00,#5,,,1:00,Z2,2:00,1
Full,8,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,8,4,1:00,#1,1:00,Z1 (100+RPM),,,2:00,1
Full,8,5,,,,,1:00,Z2,1:00,1
Full,8,6,,,2:00,Z2,,,2:00,1
Full,8,7,,,,,1:00,Z1-Z2,1:00,1
Full,9,1,,,,,,,0:00,1
Full,9,2,1:00,#2,,,1:00,Z2,2:00,1
Full,9,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,9,4,1:00,#3,1:00,Z1 (100+RPM),,,2:00,1
Full,9,5,,,,,1:00,Z2,1:00,1
Full,9,6,,,2:45,Z2,,,2:45,1
Full,9,7,,,,,1:15,Z1-Z2,1:15,1
Full,10,1,,,,,,,0:00,1
Full,10,2,1:00,#4,,,1:00,Z2,2:00,1
Full,10,3,,,0:45,Trans (fast): Z2,0:30,Z2,1:15,1
Full,10,4,1:00,#5,1:15,Z1 (100+RPM),,,2:15,1
Full,10,5,,,,,1:00,Z2,1:00,1
Full,10,6,,,3:00,Z2,,,3:00,1
Full,10,7,,,,,1:30,Z1-Z2,1:30,1
Full,11,1,,,,,,,0:00,1
Full,11,2,1:00,#6,,,1:00,"Z2; at 0:10 do 5 x 1min strides, 1min jog",2:00,1
Full,11,3,,,0:45,Trans (fast): Z2,0:30,Z2,1:15,1
Full,11,4,1:00,#7,1:15,"Z2; at 0:15 add 5x1min PU, 1min spin",,,2:15,1
Full,11,5,1:00,#8,,,1:00,Z2; at 0:45 add 5min Z4 (hard!),2:00,1
Full,11,6,,,2:30,Trans (fast): Z2,0:15,Z2,2:45,1
Full,11,7,,,0:30,Z1 (100+ RPM),1:00,Z1-Z2,1:30,1
Full,12,1,,,,,,,0:00,1
Full,12,2,1:00,#9,,,0:45,Z2; at 0:10 add 5min Z4 (hard!),1:45,1
Full,12,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,12,4,1:00,#10,1:00,Z2; at 0:15 add 5min Z4 (hard!),,,2:00,1
Full,12,5,1:00,#11,,,1:00,Z2; at 0:45 add 5min Z4 (hard!),2:00,1
Full,12,6,,,2:30,Trans (fast): Z2,0:15,Z2,2:45,1
Full,12,7,,,0:30,Z1 (100+ RPM),1:00,Z1-Z2,1:30,1
Full,13,1,,,,,,,0:00,1
Full,13,2,1:00,#6,,,0:45,"Z2; at 0:10 do 3 x 3min Z4, 1min jog",1:45,1
Full,13,3,,,0:45,Trans (fast): Z2,0:15,Z2,1:00,1
Full,13,4,1:00,#7,1:00,"Z2; at 0:15 do 2 x 5min Z4, 3min spin",,,2:00,1
Full,13,5,1:00,#8,,,1:00,Z2; at 0:45 add 5min Z4 (hard!),2:00,1
Full,13,6,,,3:00,Trans (fast): Z2; at 2:50 do 5mins Z4,0:30,Z2,3:30,1
Full,13,7,,,0:30,Z1 (100+ RPM),1:15,Z1-Z2,1:45,1
Full,14,1,,,,,,,0:00,1
Full,14,2,1:00,#9,,,1:00,Z2,2:00,1
Full,14,3,,,0:45,Trans (fast): Z2,0:30,Z2,1:15,1
